config_id,strategy_name,symbol,timeframe,params,param_atr_period,param_multiplier,total_trades,winning_trades,losing_trades,win_rate,gross_profit,gross_loss,net_profit,profit_factor,average_trade,median_trade,max_drawdown,average_r,median_r,max_consecutive_losses,first_trade_time,last_trade_time,param_fast_period,param_slow_period,param_lookback,param_period,param_oversold,param_overbought
supertrend[atr_period=10_multiplier=2],supertrend,XAUUSDrfd,H1,"{""atr_period"": 10, ""multiplier"": 2.0}",10.0,2.0,2039,821,1218,0.4026483570377636,14089.587776255332,13955.464098325798,134.12367792953575,1.0096108360843137,0.06577914562507883,-5.062987414147346,859.2310089271637,-0.03354399550737815,-1.0206931381784525,11,2015-01-02 14:00:00+00:00,2026-06-19 16:00:00+00:00,,,,,,
supertrend[atr_period=10_multiplier=3],supertrend,XAUUSDrfd,H1,"{""atr_period"": 10, ""multiplier"": 3.0}",10.0,3.0,1484,579,905,0.39016172506738545,9568.52855659856,10988.438972245842,-1419.9104156472804,0.8707814258937384,-0.9568129485493803,-5.343696457174064,1824.6507255966699,-0.06523310914360245,-1.0211835608846092,16,2015-01-02 16:00:00+00:00,2026-06-22 04:00:00+00:00,,,,,,
supertrend[atr_period=10_multiplier=4],supertrend,XAUUSDrfd,H1,"{""atr_period"": 10, ""multiplier"": 4.0}",10.0,4.0,1071,424,647,0.39589169000933705,7230.3577170628205,8052.254528690133,-821.8968116273112,0.8979296036036989,-0.7674106551142028,-5.433178621749266,1367.7967954837047,-0.048943311291985446,-1.0202298344367364,13,2015-01-02 16:00:00+00:00,2026-06-17 22:00:00+00:00,,,,,,
supertrend[atr_period=14_multiplier=2],supertrend,XAUUSDrfd,H1,"{""atr_period"": 14, ""multiplier"": 2.0}",14.0,2.0,2073,813,1260,0.3921852387843705,14086.969239517872,14517.984057729871,-431.01481821199775,0.9703116619705535,-0.20791838794597092,-5.234259912587322,1255.2472345765184,-0.0594843222283022,-1.0216198189571593,12,2015-01-02 14:00:00+00:00,2026-06-19 16:00:00+00:00,,,,,,
supertrend[atr_period=14_multiplier=3],supertrend,XAUUSDrfd,H1,"{""atr_period"": 14, ""multiplier"": 3.0}",14.0,3.0,1474,582,892,0.3948439620081411,9956.006578343151,10639.685710929243,-683.6791325860895,0.9357425443607036,-0.4638257344546062,-5.279389969150816,1293.2520349237145,-0.0534441788540919,-1.0207892645256655,16,2015-01-02 16:00:00+00:00,2026-06-22 04:00:00+00:00,,,,,,
supertrend[atr_period=14_multiplier=4],supertrend,XAUUSDrfd,H1,"{""atr_period"": 14, ""multiplier"": 4.0}",14.0,4.0,1052,422,630,0.4011406844106464,7286.38493869408,8018.56489489731,-732.1799562032274,0.908689401931615,-0.6959885515239804,-5.474239818300066,1162.377214209588,-0.035350293030230136,-1.0189521620576565,16,2015-01-02 16:00:00+00:00,2026-06-17 22:00:00+00:00,,,,,,
ema_crossover[fast_period=20_slow_period=100],ema_crossover,XAUUSDrfd,H1,"{""fast_period"": 20, ""slow_period"": 100}",,,789,318,471,0.40304182509505704,5245.674702564368,5352.406630665849,-106.73192810147843,0.9800590770719894,-0.13527494055954173,-5.27803565731806,502.70291967377807,-0.032875575777500644,-1.0214273707031782,9,2015-01-02 11:00:00+00:00,2026-06-18 14:00:00+00:00,20.0,100.0,,,,
ema_crossover[fast_period=20_slow_period=200],ema_crossover,XAUUSDrfd,H1,"{""fast_period"": 20, ""slow_period"": 200}",,,571,227,344,0.3975481611208406,3897.439728861569,4039.5950597708534,-142.15533090928292,0.9648095096647267,-0.24895854800224682,-5.26002064653635,545.0993295691275,-0.04720439921279143,-1.0222205804250986,15,2015-01-02 11:00:00+00:00,2026-06-18 12:00:00+00:00,20.0,200.0,,,,
ema_crossover[fast_period=50_slow_period=100],ema_crossover,XAUUSDrfd,H1,"{""fast_period"": 50, ""slow_period"": 100}",,,543,217,326,0.3996316758747698,3845.8733167546193,3420.436242680345,425.4370740742746,1.12438093970753,0.7834936907445205,-5.379726582451712,300.14107696899515,-0.04168151289500807,-1.0229619647606452,8,2015-01-02 11:00:00+00:00,2026-06-18 22:00:00+00:00,50.0,100.0,,,,
ema_crossover[fast_period=50_slow_period=200],ema_crossover,XAUUSDrfd,H1,"{""fast_period"": 50, ""slow_period"": 200}",,,390,152,238,0.38974358974358975,2640.960834348596,2657.5628464903425,-16.602012141746997,0.9937529183312931,-0.04256926190191537,-5.1049577669304425,413.64244735008134,-0.06739300988341239,-1.0238910008821347,13,2015-01-02 11:00:00+00:00,2026-06-18 15:00:00+00:00,50.0,200.0,,,,
donchian_breakout[lookback=20],donchian_breakout,XAUUSDrfd,H1,"{""lookback"": 20}",,,2925,1210,1715,0.41367521367521365,20686.861932868975,20610.22098073811,76.64095213086222,1.0037185895387775,0.02620203491653409,-5.156213802604998,1012.259333911941,-0.005729969931302048,-1.0186993289496922,12,2015-01-05 09:00:00+00:00,2026-06-22 04:00:00+00:00,,,20.0,,,
donchian_breakout[lookback=55],donchian_breakout,XAUUSDrfd,H1,"{""lookback"": 55}",,,1838,752,1086,0.4091403699673558,13950.082236002794,13330.268533880004,619.813702122789,1.046496715392303,0.33722181834754567,-5.2495761558874845,825.800603033998,-0.015768853411786757,-1.0189824039009092,14,2015-01-06 20:00:00+00:00,2026-06-19 08:00:00+00:00,,,55.0,,,
rsi_mean_reversion[period=14_oversold=25_overbought=70],rsi_mean_reversion,XAUUSDrfd,H1,"{""period"": 14, ""oversold"": 25, ""overbought"": 70}",,,1318,497,821,0.37708649468892264,9557.782716362264,10417.136343611663,-859.3536272493985,0.9175057713652371,-0.6520133742408183,-5.672875829569125,1634.940112414266,-0.09488972849762024,-1.0206386781926318,12,2015-01-02 19:00:00+00:00,2026-06-19 10:00:00+00:00,,,,14.0,25.0,70.0
rsi_mean_reversion[period=14_oversold=25_overbought=75],rsi_mean_reversion,XAUUSDrfd,H1,"{""period"": 14, ""oversold"": 25, ""overbought"": 75}",,,911,318,593,0.34906695938529086,6228.857058518108,7796.319645857701,-1567.4625873395921,0.798948393788291,-1.7205955953233723,-5.875695235711009,1751.911584324561,-0.16436635331578886,-1.0209079180182123,13,2015-01-02 19:00:00+00:00,2026-06-19 10:00:00+00:00,,,,14.0,25.0,75.0
rsi_mean_reversion[period=14_oversold=30_overbought=70],rsi_mean_reversion,XAUUSDrfd,H1,"{""period"": 14, ""oversold"": 30, ""overbought"": 70}",,,1663,645,1018,0.3878532772098617,11919.862141406384,13190.441674533378,-1270.5795331269924,0.9036742237691641,-0.7640285827582636,-5.512125640086469,1970.5511810341015,-0.06846869998748761,-1.0202824913540072,12,2015-01-02 19:00:00+00:00,2026-06-19 11:00:00+00:00,,,,14.0,30.0,70.0
rsi_mean_reversion[period=14_oversold=30_overbought=75],rsi_mean_reversion,XAUUSDrfd,H1,"{""period"": 14, ""oversold"": 30, ""overbought"": 75}",,,1263,469,794,0.37133808392715756,8826.336521203511,10644.692367582455,-1818.355846378942,0.8291772290276234,-1.439711675676122,-5.60170354335678,2064.8539115323133,-0.10951044777481864,-1.0202824913540072,11,2015-01-02 19:00:00+00:00,2026-06-19 11:00:00+00:00,,,,14.0,30.0,75.0
