strategy_name,timeframe,direction,max_holding_bars,total_signals,suggested_stop_loss_atr,suggested_take_profit_atr,trend_potential_score,p75_mae_atr,p90_mfe_atr,reached_5r_rate,reached_8r_rate,average_close_pnl_at_horizon_atr,median_bars_to_mfe,notes
donchian_100,H1,long,24,1919,4.0,6.5,5.016,3.769119317998488,6.711971684945201,0.20323084940072955,0.06618030224075039,0.4314848129110244,12.0,wide stop needed
donchian_100,H1,long,48,1919,5.0,9.5,7.74,5.537364641090415,9.603280821164045,0.36685773840541946,0.15737363210005212,0.631364808499451,24.0,strong trend potential; wide stop needed
donchian_100,H1,long,72,1918,5.0,12.5,10.602,6.72853245608154,12.279488817502378,0.467674661105318,0.24661105318039625,0.8503888376102747,38.0,strong trend potential; wide stop needed
donchian_100,H1,long,120,1918,5.0,16.5,14.659,8.832922999990881,16.311398968942296,0.5948905109489051,0.3894681960375391,1.2321848011228356,58.0,strong trend potential; wide stop needed
donchian_100,H1,long,240,1918,5.0,20.0,24.829,12.957553000896475,27.254064642752514,0.708029197080292,0.5531803962460897,2.19047233061343,123.0,strong trend potential; wide stop needed
donchian_100,H1,long,480,1918,5.0,20.0,44.311,17.684712360903717,44.91694554935186,0.7956204379562044,0.6767466110531803,4.917937932356964,252.5,strong trend potential; wide stop needed
donchian_100,H1,short,24,1132,3.5,6.0,3.798,3.5064418588869577,6.230953606860414,0.15459363957597172,0.05653710247349823,0.05789200888306178,9.0,wide stop needed
donchian_100,H1,short,48,1129,5.0,8.5,4.672,5.131976814308165,8.32740823021255,0.25066430469441986,0.10894596988485385,-0.08974838684708591,19.0,strong trend potential; wide stop needed
donchian_100,H1,short,72,1129,5.0,11.0,6.824,6.634299396220602,10.828056732125864,0.36581045172719223,0.183348095659876,0.03364574336899023,31.0,strong trend potential; wide stop needed
donchian_100,H1,short,120,1129,5.0,14.0,8.585,8.497261949256725,14.232960424799696,0.46235606731620904,0.2807794508414526,-0.34235175298600456,53.0,strong trend potential; wide stop needed
donchian_100,H1,short,240,1117,5.0,18.0,5.155,13.535589296718317,17.9950363693528,0.594449418084154,0.41271262309758283,-2.0792404552038675,85.0,strong trend potential; wide stop needed
donchian_100,H1,short,480,1110,5.0,20.0,1.251,19.738893255811348,24.296599280948048,0.6522522522522523,0.5072072072072072,-4.479627790323434,115.0,strong trend potential; wide stop needed; short holding preferred
donchian_100,H4,long,12,606,2.5,5.0,3.788,2.708099985713213,5.0053917324175305,0.10231023102310231,0.028052805280528052,0.4563830715695214,6.0,wide stop needed
donchian_100,H4,long,24,606,4.0,8.5,7.747,3.768648338909533,8.551430357992132,0.2508250825082508,0.11221122112211221,0.6438937133080322,13.0,strong trend potential; wide stop needed
donchian_100,H4,long,48,606,5.0,12.0,11.778,5.621744402566254,11.99236436438571,0.4570957095709571,0.22772277227722773,1.1065048620591846,25.5,strong trend potential; wide stop needed
donchian_100,H4,long,72,606,5.0,15.5,16.385,7.040309108981765,15.443544347001948,0.5396039603960396,0.3465346534653465,1.8721213832880383,36.5,strong trend potential; wide stop needed
donchian_100,H4,long,120,606,5.0,20.0,24.82,9.50712049529027,23.32984980895212,0.6501650165016502,0.4735973597359736,2.777554885099931,63.5,strong trend potential; wide stop needed
donchian_100,H4,long,240,606,5.0,20.0,40.336,11.206113651437317,33.58059790451955,0.7524752475247525,0.6204620462046204,5.6143846455048925,132.5,strong trend potential; wide stop needed
donchian_100,H4,short,12,315,2.5,4.0,1.411,2.620729566302476,3.833810301294103,0.06031746031746032,0.015873015873015872,-0.06915380644656312,5.0,wide stop needed
donchian_100,H4,short,24,315,3.5,6.0,3.321,3.6115754142172145,6.148351201332397,0.11428571428571428,0.06031746031746032,-0.017476984509572965,11.0,wide stop needed
donchian_100,H4,short,48,313,5.0,7.0,0.58,5.3146829981040735,6.900256958611488,0.16613418530351437,0.07028753993610223,-1.0458069563401526,18.0,wide stop needed
donchian_100,H4,short,72,306,5.0,8.5,-1.096,7.318676184748375,8.290080617263735,0.2647058823529412,0.10457516339869281,-1.876687998661401,21.0,strong trend potential; wide stop needed; short holding preferred
donchian_100,H4,short,120,304,5.0,11.0,-3.282,10.18170193240082,10.758666167439472,0.33881578947368424,0.22039473684210525,-3.268440614208756,26.0,strong trend potential; wide stop needed; short holding preferred
donchian_100,H4,short,240,301,5.0,15.0,-2.626,15.661699699643181,15.199087330870853,0.4717607973421927,0.34551495016611294,-3.061805754740074,44.0,strong trend potential; wide stop needed; short holding preferred
donchian_40,H1,long,24,2859,4.0,6.5,4.525,3.860062286717829,6.566450901858842,0.1969220006995453,0.0584120321790836,0.34038127790296224,12.0,wide stop needed
