iter	MultiClass
0	1.087326098
1	1.07699099
2	1.067779501
3	1.059883877
4	1.052207703
5	1.045493447
6	1.039311235
7	1.033392544
8	1.028086727
9	1.022987145
10	1.018030435
11	1.013597808
12	1.009632233
13	1.006050154
14	1.002749766
15	0.9997321591
16	0.9966519372
17	0.9936108525
18	0.9908514088
19	0.9886580382
20	0.9864483508
21	0.9843976293
22	0.9825699975
23	0.9810165944
24	0.9793800591
25	0.9777479563
26	0.9763381417
27	0.9751451379
28	0.9739130215
29	0.9727580178
30	0.9714418005
31	0.9704641828
32	0.9695472529
33	0.9685996899
34	0.9677636619
35	0.9668685393
36	0.9660691386
37	0.9653020688
38	0.9646226391
39	0.9640468539
40	0.9634678219
41	0.9628108511
42	0.9622182934
43	0.9617277101
44	0.9612480134
45	0.9607970674
46	0.9603502257
47	0.9599405256
48	0.9595101224
49	0.9591343866
50	0.9586542566
51	0.9583257564
52	0.9580302473
53	0.9575742511
54	0.9573020438
55	0.9570128545
56	0.9568035475
57	0.9566136635
58	0.9564052211
59	0.9561784082
60	0.9559872605
61	0.9557568398
62	0.955545895
63	0.9553416732
64	0.9551724393
65	0.9550455839
66	0.9548809129
67	0.9547004319
68	0.9545393593
69	0.9543755244
70	0.9542150307
71	0.9541057302
72	0.9539388268
73	0.9537682381
74	0.9535826683
75	0.9534253034
76	0.9532940843
77	0.9531658177
78	0.953049958
79	0.9529078563
80	0.9527893045
81	0.9526870903
82	0.9526213395
83	0.9525207617
84	0.9523897306
85	0.9522865765
86	0.9522181369
87	0.9521138308
88	0.9520359699
89	0.9519194375
90	0.9518306808
91	0.9517433512
92	0.9516414882
93	0.9515635246
94	0.9515098928
95	0.9514233449
96	0.951368185
97	0.9512877345
98	0.9511960674
99	0.9511275799
100	0.9510718633
101	0.951021926
102	0.9509335087
103	0.95082794
104	0.9507460242
105	0.9507001566
106	0.9506446802
107	0.9505934266
108	0.950533228
109	0.9504926023
110	0.9504076569
111	0.9503410381
112	0.9502852877
113	0.9502298599
114	0.9501832506
115	0.9501364556
116	0.9500811609
117	0.9500108813
118	0.9499562625
119	0.9499250217
120	0.9498780367
121	0.9498006792
122	0.9497277876
123	0.9496942325
124	0.9496265196
125	0.9495543642
126	0.9495105327
127	0.9494684615
128	0.9494084509
129	0.9493694299
130	0.9493175357
131	0.9492376637
132	0.9491989617
133	0.9491423482
134	0.9490997769
135	0.949032934
136	0.9489872454
137	0.948947878
138	0.9488526793
139	0.9488210723
140	0.948785793
141	0.9487409412
142	0.9487011459
143	0.9486587435
144	0.9486265096
145	0.9485792863
146	0.9485528321
147	0.9485109933
148	0.9484514023
149	0.9484198361
150	0.9483903148
151	0.9483524367
152	0.9483261651
153	0.9483004533
154	0.9482624924
155	0.9482398969
156	0.948208928
157	0.9481588439
158	0.9481223559
159	0.9480976822
160	0.948075371
161	0.9480397132
162	0.9479997322
163	0.9479724103
164	0.9479290835
165	0.9479055537
166	0.9478637246
167	0.9478210172
168	0.9477698399
169	0.9477425171
170	0.9477055621
171	0.9476639829
172	0.9476301245
173	0.9475896565
174	0.9475557552
175	0.9475024522
176	0.9474592647
177	0.9474222533
178	0.9473651037
179	0.947331635
180	0.9473088149
181	0.9472796838
182	0.947243835
183	0.9472091642
184	0.9471501492
185	0.9471073711
186	0.9470647652
187	0.947034739
188	0.9469954569
189	0.9469476528
190	0.9469129952
191	0.9468918286
192	0.9468687987
193	0.9468404551
194	0.9468048303
195	0.9467823552
196	0.9467654231
197	0.9467317654
198	0.9467073859
199	0.94668107
200	0.946636257
201	0.9466186302
202	0.9465870609
203	0.9465601182
204	0.9465272988
205	0.9464974306
206	0.9464747848
207	0.9464466194
208	0.9464088355
209	0.9463726775
210	0.9463504445
211	0.9463174778
212	0.9462852727
213	0.9462550499
214	0.9462250012
215	0.9461934075
216	0.9461750779
217	0.9461318389
218	0.9460982597
219	0.9460801909
220	0.9460468263
221	0.9460104369
222	0.9459839562
223	0.9459570992
224	0.9459224417
225	0.9458850364
226	0.945848789
227	0.9458153019
228	0.9457937712
229	0.945766888
230	0.9457319522
231	0.9457125279
232	0.9456941623
233	0.9456671449
234	0.9456402596
235	0.9456108207
236	0.9455797039
237	0.9455468625
238	0.9455072948
239	0.9454689867
240	0.9454477559
241	0.9454252305
242	0.9454044933
243	0.945368229
244	0.9453423413
245	0.9453275777
246	0.945296171
247	0.9452758153
248	0.9452554958
249	0.9452193542
250	0.9451895186
251	0.9451687264
252	0.9451419238
253	0.945116806
254	0.9450773302
255	0.945046906
256	0.9450206574
257	0.9449843435
258	0.9449349068
259	0.9449138702
260	0.9448864838
261	0.9448417626
262	0.9448032747
263	0.9447550794
264	0.9447348575
265	0.9447070128
266	0.9446730482
267	0.9446326492
268	0.9446099248
269	0.9445905826
270	0.9445628646
271	0.9445350028
272	0.9445105417
273	0.9444831975
274	0.9444543808
275	0.9444102149
276	0.9443792474
277	0.9443236275
278	0.9443002517
279	0.9442668154
280	0.9442369541
281	0.9442132638
282	0.9441990695
283	0.9441671043
284	0.9441382818
285	0.9441096432
286	0.9440791842
287	0.9440369082
288	0.9440129764
289	0.9439715583
290	0.9439435577
291	0.9439073182
292	0.9438760623
293	0.9438408861
294	0.9438182116
295	0.9437643527
296	0.9437334872
297	0.9437003241
298	0.9436705141
299	0.9436457437
