iter	Passed	Remaining
0	180	54050
1	356	53058
2	507	50249
3	665	49256
4	814	48049
5	946	46378
6	1076	45062
7	1204	43956
8	1336	43228
9	1466	42527
10	1594	41885
11	1719	41263
12	1850	40861
13	1976	40373
14	2103	39959
15	2239	39748
16	2348	39101
17	2452	38420
18	2556	37812
19	2656	37184
20	2766	36752
21	2888	36498
22	2986	35963
23	3098	35631
24	3208	35294
25	3316	34952
26	3423	34610
27	3520	34197
28	3617	33804
29	3733	33600
30	3832	33254
31	3942	33015
32	4038	32675
33	4139	32382
34	4246	32151
35	4349	31897
36	4451	31643
37	4546	31349
38	4635	31025
39	4733	30770
40	4842	30590
41	4938	30335
42	5026	30040
43	5119	29787
44	5213	29540
45	5320	29378
46	5414	29148
47	5512	28942
48	5604	28710
49	5699	28495
50	5802	28331
51	5911	28193
52	6012	28020
53	6129	27924
54	6218	27700
55	6313	27510
56	6416	27354
57	6517	27194
58	6622	27051
59	6723	26893
60	6839	26798
61	6958	26711
62	7053	26534
63	7178	26471
64	7277	26310
65	7397	26227
66	7504	26098
67	7648	26095
68	7738	25906
69	7831	25731
70	7968	25700
71	8089	25616
72	8178	25433
73	8260	25226
74	8377	25132
75	8475	24979
76	8557	24782
77	8638	24586
78	8722	24401
79	8814	24239
80	8895	24050
81	8974	23859
82	9065	23702
83	9164	23565
84	9248	23392
85	9342	23246
86	9442	23117
87	9548	23003
88	9654	22889
89	9765	22786
90	9878	22688
91	9980	22564
92	10084	22446
93	10229	22416
94	10317	22265
95	10402	22104
96	10512	21999
97	10600	21850
98	10688	21700
99	10784	21568
100	10874	21426
101	10979	21313
102	11089	21210
103	11200	21108
104	11305	20995
105	11397	20858
106	11492	20730
107	11593	20611
108	11711	20522
109	11839	20449
110	11951	20349
111	12073	20266
112	12167	20135
113	12261	20005
114	12351	19869
115	12438	19729
116	12530	19599
117	12616	19459
118	12706	19326
119	12792	19188
120	12890	19069
121	12988	18949
122	13080	18822
123	13168	18691
124	13266	18573
125	13352	18439
126	13454	18328
127	13551	18209
128	13634	18073
129	13717	17938
130	13814	17821
131	13907	17700
132	14015	17598
133	14112	17482
134	14207	17365
135	14303	17248
136	14399	17131
137	14485	17004
138	14564	16870
139	14663	16758
140	14740	16621
141	14819	16489
142	14904	16363
143	14994	16244
144	15102	16144
145	15215	16049
146	15324	15949
147	15425	15842
148	15552	15761
149	15641	15641
150	15759	15550
151	15844	15427
152	15955	15329
153	16088	15253
154	16203	15158
155	16316	15061
156	16469	15000
157	16597	14917
158	16710	14818
159	16818	14716
160	16972	14653
161	17082	14551
162	17186	14445
163	17292	14340
164	17378	14218
165	17487	14116
166	17598	14015
167	17698	13906
168	17795	13794
169	17891	13681
170	17976	13560
171	18064	13443
172	18160	13331
173	18243	13211
174	18346	13104
175	18449	12998
176	18560	12897
177	18672	12798
178	18800	12708
179	18920	12613
180	19025	12508
181	19140	12409
182	19250	12307
183	19355	12202
184	19455	12093
185	19539	11976
186	19629	11861
187	19721	11748
188	19800	11629
189	19911	11527
190	20007	11417
191	20119	11317
192	20254	11229
193	20362	11126
194	20473	11024
195	20572	10916
196	20666	10805
197	20759	10694
198	20866	10590
199	20975	10487
200	21074	10380
201	21176	10273
202	21293	10174
203	21397	10069
204	21491	9959
205	21584	9849
206	21687	9743
207	21771	9629
208	21874	9524
209	21965	9413
210	22070	9309
211	22157	9197
212	22258	9091
213	22354	8983
214	22451	8876
215	22540	8765
216	22630	8655
217	22738	8553
218	22837	8446
219	22942	8342
220	23044	8237
221	23139	8130
222	23226	8019
223	23333	7916
224	23445	7815
225	23551	7711
226	23630	7599
227	23736	7495
228	23830	7388
229	23928	7282
230	24023	7175
231	24131	7073
232	24223	6965
233	24321	6859
234	24418	6754
235	24504	6645
236	24635	6548
237	24728	6441
238	24825	6336
239	24927	6231
240	25015	6124
241	25109	6018
242	25197	5910
243	25288	5803
244	25388	5699
245	25476	5592
246	25570	5486
247	25673	5383
248	25758	5275
249	25865	5173
250	25958	5067
251	26059	4963
252	26166	4861
253	26264	4756
254	26363	4652
255	26467	4549
256	26557	4443
257	26655	4339
258	26775	4238
259	26880	4135
260	26994	4033
261	27120	3933
262	27236	3831
263	27356	3730
264	27452	3625
265	27561	3522
266	27669	3419
267	27755	3314
268	27869	3211
269	27957	3106
270	28057	3002
271	28146	2897
272	28246	2793
273	28331	2688
274	28427	2584
275	28526	2480
276	28621	2376
277	28708	2271
278	28788	2166
279	28900	2064
280	28998	1960
281	29106	1857
282	29240	1756
283	29338	1652
284	29424	1548
285	29563	1447
286	29659	1343
287	29765	1240
288	29845	1136
289	29934	1032
290	30013	928
291	30108	824
292	30209	721
293	30303	618
294	30388	515
295	30482	411
296	30574	308
297	30652	205
298	30732	102
299	30839	0
